Sample,T_C,P_bar,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,total_mass_g,Type,Place,Colour,Symbol,reference
Sari15-04-23,1200,,48.86,0.68,15.83,,,,8.92,0.15,6.71,14.27,1.34,0.23,0.08,2.73,111,1289.52,0,0.275,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-24,1200,,47.53,0.68,15.98,,,,8.8,0.18,7.14,13.6,1.63,0.27,0.07,3.86,866,1240.03,0,0.258,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-25,1200,,47.93,0.69,16.49,,,,9.35,0.19,6.6,13.34,1.57,0.29,0.06,3.27,390,1288.1,0,0.281,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-27,1200,,47.59,0.6,15.41,,,,9.1,0.17,7.4,13.37,1.71,0.26,0.08,4.06,242,1493.19,0,0.218,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-29,1200,,47.71,0.59,15.04,,,,8.83,0.17,7.18,13.94,1.73,0.26,0.07,4.18,727,1478.84,0,0.244,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-30,1200,,47.64,0.58,14.67,,,,9.12,0.16,7.43,13.81,1.72,0.24,0.06,4.31,398,1450.67,0,0.223,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-31A,1200,,47.18,0.64,15.84,,,,9.06,0.15,7.22,13.88,1.59,0.28,0.07,3.83,630,1484.12,0,0.245,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-33,1200,,47.89,0.75,16.74,,,,9.43,0.18,5.92,11.58,2.14,0.63,0.17,4.17,1487,1343.58,0,0.195,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-34,1200,,46.94,0.65,16,,,,8.92,0.15,7.3,13.94,1.61,0.26,0.07,3.83,1109,1614.12,0,0.206,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-36,1200,,48.18,0.65,16.37,,,,9.48,0.18,6.35,12.68,1.71,0.29,0.07,3.79,264,1456.54,0,0.227,,,MI,"Sarigan, Mariana MI",steelblue,circle,
,,,,,,,,,,,,,,,,,,,,,,,,,white,square,
Sari15-04-33_1,1203.069688,,47.38712617,0.760150156,16.60764841,,,,9.443443833,0.181458313,5.893117108,11.63012173,2.124039054,0.598452117,0.167968924,4.241019979,1484.993625,1484.772484,0,0.197574275,,,,,lightgrey,circle,
Sari15-04-33_2,1178.914793,,48.46017377,0.761529843,16.41531134,,,,9.615013726,0.181485323,5.927657729,11.82513613,2.178354398,0.612153601,0.173099793,4.41105564,1495.516521,1497.544501,0,0.193844054,,,,,lightgrey,circle,
Sari15-04-33_3,1198.084243,,47.57470215,0.752973166,16.70108488,,,,9.428822698,0.181725264,5.96230302,11.58681451,2.126010642,0.605241526,0.170164688,4.124018238,1381.291113,1238.433443,0,0.19330022,,,,,lightgrey,circle,
Sari15-04-33_4,1243.768834,,47.83190613,0.75052678,16.96134426,,,,9.415738782,0.187694189,5.871134806,11.50696192,2.108128367,0.611689015,0.155404138,4.169526113,1478.596978,1182.73568,0,0.188151842,,,,,lightgrey,circle,
Sari15-04-33_5,1164.130899,,47.94932744,0.737358505,16.54045481,,,,9.401174277,0.20702925,6.008174736,11.45213877,2.143846413,0.641465476,0.175215262,4.092293064,1469.239625,1355.173624,0,0.200081525,,,,,lightgrey,circle,
Sari15-04-33_6,1156.86476,,48.7570055,0.756363938,16.79883918,,,,9.677362446,0.18669408,5.851958075,11.6975109,2.145069196,0.640111833,0.168432866,4.426416795,1512.863185,1460.45402,0,0.195137365,,,,,lightgrey,circle,
