Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
AH3 phonotephrite (Allison+19),1200,,1,,,0,,53.47,0.71,15.48,,,,8.39,0.1,4.88,8.51,3.66,4.72,0,0,0,0,,,,,,,,,,,,,,,,,,,,
N72 basalt (Allison+19),1200,,1,,,0,,50.17,0.92,18.28,,,,9.37,0.17,7,11.37,2.33,0.23,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,
MORB (Dixon95),1200,,1,,,0,,49,2.3,13,,,,11,0,10,11,2.2,0.5,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,
VES-9 (Lesne+11),1200,,1,,,0,,48.67,0.97,14.72,,,,7.62,0.14,6.82,12.94,1.82,5.83,0.66,0,0,0,,,,,,,,,,,,,,,,,,,,
ETN-1 (Lesne+11),1200,,1,,,0,,47.95,1.67,17.32,,,,10.24,0.17,5.76,10.93,3.45,1.99,0.51,0,0,0,,,,,,,,,,,,,,,,,,,,
PST-9 (Lesne+11),1200,,1,,,0,,49.82,0.81,15.94,,,,7.71,0.2,8.07,12.81,2.32,1.92,0.4,0,0,0,,,,,,,,,,,,,,,,,,,,
Tholeiite (Pan+91),1200,,1,,,0,,49,2.3,13,,,,11,0,10,11,2.2,0.5,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,
Tholeiite (Stolper+Holloway88),1200,,1,,,0,,50.92,2.02,13.71,,,,0.19,7.11,12.56,10.88,2.63,0.16,0,0,0,0,,,,,,,,,,,,,,,,,,,,
basalt (Stanley+11),1200,,1,,,0,,46.91,0.53,10.52,,,,19.87,0.38,10.79,7.99,2.4,0.11,0.52,0,0,0,,,,,,,,,,,,,,,,,,,,
"Tamic+01 [rhyolite, 1100]",1100,,1,,,0,,77.04,0.11,12.76,,,,0.68,0.07,0.08,0.58,4.07,4.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,
