Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
Hawaii high Si,1200,,4000,,,-4.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-1.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.21,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.3,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,-1.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.141,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.175,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.173,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.128,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.13,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.123,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.19,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.198,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.128,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.183,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,-0.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.497,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.175,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.147,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.174,,,0.005,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,4000,,,0.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.1,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,0.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,1.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,1.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,1.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,1.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,1.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,1.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,1.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,1.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,1.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,2.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,2.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,2.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,,,,,,,,,,,,,0,,-17
Hawaii high Si,1200,,1800,,,2.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.4,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,2.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.36,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,2.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.31,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,2.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.33,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,2.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.32,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,2.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.32,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.34,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.37,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.34,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.32,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.25,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,3.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.33,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.34,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.32,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.3,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,3.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.28,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.31,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.32,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.32,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.18,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.106,0.0184,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.201,0.0951,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.094,0.0905,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.107,0.0649,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.108,0.0679,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.138,0.2675,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,0.076,0.1919,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.129,0.11575,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,4000,,,,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,5000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,5000,,0.306,,2330,,,,,,,,,,,,,,,,
496_4,1100,,1800,200,,,,52.0645752,2.306264,14.0911392,,,,10.407984,0.1722792,6.3882296,10.5978174,2.1969676,0.359664,0,0.26,23.35,244.826,,0.274,,235,,,,,,,,,,,,,,,,
498-7,1100,,1800,200,,,,50.9480869,2.4363066,14.0130792,,,,10.1968009,0.163017,7.0909006,10.8472726,2.1527173,0.346428,0,0.13,4.27,92.029,,0.352,,2980,,,,,,,,,,,,,,,,
499-2B,1100,,1800,200,,,,50.3727509,2.5321786,14.1456636,,,,9.872045,0.1658673,7.3815638,11.5154794,2.1970958,0.3205225,0,0.09,4.91,40.522,,0.327,,3445,,,,,,,,,,,,,,,,
499-8A,1100,,1800,200,,,,50.4965385,2.5837786,14.2031788,,,,9.8835861,0.1586616,7.2645772,11.5391515,2.2062517,0.3215758,0,0.12,5.53,110.548,,0.329,,2613,,,,,,,,,,,,,,,,
499-8B,1100,,1800,200,,,,50.31488025,2.45458636,14.22838128,,,,9.72130701,0.16034236,7.24468622,11.53341805,2.22030607,0.32187678,0,,,99.012,,0.358,,2690,,,,,,,,,,,,,,,,
499-8C,1100,,1800,200,,,,50.3727509,2.5321786,14.1456636,,,,9.872045,0.1658673,7.3815638,11.5154794,2.1970958,0.3205225,0,,,122.536,,0.336,,2490,,,,,,,,,,,,,,,,
500-1,1100,,1800,200,,,,52.1542787,1.940135,14.4995762,,,,9.4207323,0.1590192,6.9108885,9.8749977,2.3292014,0.4380071,0,0.35,36.95,917.2146667,,0.321,,2308,,,,,,,,,,,,,,,,
500-6,1100,,1800,200,,,,54.202,2.302,13.575,,,,9.607,0.145,6.038,9.047,2.563,0.584,0,0.95,35.37,,,0.333,,2460,,,,,,,,,,,,,,,,
511-3C,1100,,1800,200,,,,52.1542787,1.940135,14.4995762,,,,9.4207323,0.1590192,6.9108885,9.8749977,2.3292014,0.4380071,0,,,92,,0.287,,1798,,,,,,,,,,,,,,,,
511-5,1100,,1800,200,,,,50.428239,2.7933915,13.8080767,,,,10.6036353,0.1711062,5.9621187,10.2716967,2.3160513,0.6680823,0,0.14,4.71,26.163,,0.277,,1100,,,,,,,,,,,,,,,,
511-6A,1100,,1800,200,,,,49.0675972,3.0428745,14.1743987,,,,11.3695547,0.1712735,5.6910958,10.2491239,2.1220753,0.5103385,0,,,1417.516,,0.248,,380,,,,,,,,,,,,,,,,
KOO_08-D4,1100,,1800,200,,,,51.1540845,2.2993211,14.1341918,,,,10.0420853,0.156799,6.7730034,10.3396021,2.3171129,0.4389767,0,0.11,6,0,,0.168,,284,,,,,,,,,,,,,,,,
KOO_D4-8,1100,,1800,200,,,,53.647,2.063,13.749,,,,9.254,0.142,6.534,9.797,2.691,0.375,0,0.09,6.18,94.432,,0.27,,,,,,,,,,,,,,,,,,
K89-06,1100,,1800,200,,,,51.2530068,1.9853404,14.1495708,,,,9.4987648,0.1515929,6.8958161,9.6240675,2.2482693,0.4472482,0,0.37,30.28,891.368,,0.22,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,1800,,,4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,50000,,0.25,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0,0,1.00E+05,,0.3,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0.5,200,2000,,0.23,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0.5,100,0,,0.19,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0.5,100,2000,,0.2,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0.1,200,0,,0.27,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0.1,200,2000,,0.24,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0.1,100,0,,0.15,,,,,,,,,,,,,,,,,,
VG2,1200,,1800,,,3,,50.81,1.85,14.06,2.23,9.83,,,0.22,6.95,11.12,2.62,0.19,0.2,0.1,100,2000,,0.17,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,1,200,2000,,0.17,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0.9,180,2000,,0.18,,,,,,,,,,,,,,,,,,
